titulo;duracion;genero;year;rating;gross;directors;actors
Mania;N/A;Horror, Thriller            ;(I) (2022);N/A;N/A;['>Alexandre Alonso<', '>|<'];['>Alexandre Alonso<', '>Regina Gaia<', '>Damien Oneill<']
Geschlossene Gesellschaft - Schauspielende im Fegefeuer;N/A;Drama            ;(2022);N/A;N/A;['>Lukas Benjamin Engel<', '>|<'];['>Maria Adriana Albu<', '>Mo Armin<', '>Maria Arnold<', '>Mirjam Back<']
Strawmen;N/A;Horror            ;(2022);N/A;N/A;['>Mj Dixon<', '>|<'];['>Derek Nelson<', '>Joe Hughes<', '>Mark Rathbone<', '>Annabella Rich<']
Nightmare Harbor;80 min;Thriller            ;(2022);N/A;N/A;['>Tomel Griggs<', '>|<'];['>Lester Speight<', '>Cisco Reyes<']
House of Stares;90 min;Horror            ;(2022);N/A;N/A;['>Michael Malott<', '>|<'];['>Erin Pearl<']
Kaansya;N/A;Drama            ;(2022);N/A;N/A;['>Aditya Watts<', '>|<'];['>Nirnay Godlaw<', '>Sahil Sethi<', '>Lakshya Goel<', '>Vaarun Bhagat<']
Never Alone;80 min;Thriller            ;(II) (2022);N/A;N/A;['>Omar Rogers<', '>|<'];['>Danielle Burr<', '>Tammie D. Caldwell<', '>Ron Christopher<', '>Pilar Cooler<']
Him;60 min;Horror, Thriller            ;(II) (2022);N/A;N/A;['>Latavious Flournoy<', '>Cassiphias Guerrero<', '>Carlos Menzies<', '>|<'];['>Marcus Allen<', '>Chelsea Chapa<', '>Lauren Craig<', '>Mariana Escobar<']
Greenhouse;N/A;N/A;(2022);N/A;N/A;['>Lee Sol-hui<', '>|<'];['>Kim Seo-hyeong<']
Stephen's Dead at Last;N/A;Sci-Fi            ;(2022);N/A;N/A;['>Steve Greene<', '>Spencer Jones<', '>Glen Simister<', '>|<'];['>Steve Greene<', '>Spencer Jones<', '>Glen Simister<']
The United Nations of Horror;N/A;Horror            ;(2022);N/A;N/A;N/A;N/A
Le Panthéon de la Joie;97 min;Drama, Musical            ;(2022);N/A;N/A;['>Jean Odoutan<', '>|<'];['>Jacob Gbetie Marcos<', '>Jérémie Ahouansou<', '>Coffi Jean-Phlorique Anato<', '>Carl Tchanou<']
Saudade;N/A;Comedy, Horror            ;(I) (2022);N/A;N/A;['>Meghan McCullin<', '>|<'];['>Brian Ezekiel Calo<', '>Jonathan Michels<', '>Melodia Flores<', '>Lauren Voorhees<']
Anoksia;82 min;Drama            ;(2022);6.5;N/A;['>Indra Gunawan<', '>|<'];['>Dwi Sasono<', '>Prisia Nasution<']
Keep It in the Dark;N/A;Horror            ;(2022);N/A;N/A;['>Nicky de la Vega<', '>|<'];['>James Cunningham<', '>Linda Dootson<', '>Chloe Elizabeth<']
Ivan;N/A;Horror            ;(II) (2022);N/A;N/A;['>Stanley Luo<', '>|<'];['>Anusha Aira<', '>Ajeyo Baidyaroy<', '>Vikrant Bajaj<', '>Allen Chen<']
Visit Me in My Dreams;59 min;N/A;(2022);N/A;N/A;['>Sora Hokimoto<', '>|<'];['>Yuzu Aoki<', '>Kenta Maeno<', '>Miako Tadano<']
The Conclave of Shadows;N/A;Horror            ;(2022);N/A;N/A;['>Leandro Bartoletti<', '>|<'];['>José Luis Parada Sabio<', '>Sofía Libertad Pugliese<', '>Christian Bronstein<']
Heptic Studios Five Nights at Freddy's 3 Your Turn (The Movie Cut);N/A;Comedy, Fantasy, Horror            ;(2022);7.0;N/A;['>Jack Heptic<', '>|<'];['>Jack Heptic<', '>ImSoHoly<', '>Mike Epic<', '>PixelityGamez<']
Emerge;88 min;Horror            ;(2022);N/A;N/A;['>Rafa Dengrá<', '>|<'];['>Raúl Delacruz<', '>Rafa Dengrá<', '>Laura Gracia<', '>Pedro Alonso<']
Halloween: Legacy of the Witch;N/A;Horror, Sci-Fi            ;(2022);N/A;N/A;['>Josh Akers<', '>|<'];['>Josh Akers<', '>Brandon Morales<', '>Edward Nadeau<', '>Joe Sreka<']
The Blue Rose of Forgetfulness;N/A;N/A;(2022);N/A;N/A;N/A;N/A
Watching;90 min;Comedy, Horror            ;(2022);N/A;N/A;['>Taylor Katsanis<', '>|<'];['>Alexia Bailey<', '>Jason Francisco Blue<', '>Eddie Davenport<', '>Derek Evans<']
Off Trail;69 min;Horror            ;(2022);N/A;N/A;['>Avery Bjerklie<', '>Alexa Jade<', '>Michael Paul Torello<', '>|<'];['>Alexa<', '>Donald Barrett<', '>Avery Bjerklie<', '>Trey Curry<']
Fall of the Harvest;N/A;Horror            ;(2022);N/A;N/A;['>Josh Akers<', '>|<'];['>Ardis Akers<', '>Josh Akers<', '>Ken Akers<', '>Shawn Akers<']
The Grooks II;87 min;Comedy            ;(2022);N/A;N/A;['>Carter Canfield<', '>|<'];['>Ben Griffin<', '>Jacob Rook<', '>Tysen Canfield<', '>Megan Outland<']
Rockabye;N/A;Musical            ;(2022);N/A;N/A;['>Sushi Soucy<', '>|<'];['>Sushi Soucy<']
Daz's Ghost Hunt Live;N/A;Horror            ;(2022);N/A;N/A;['>Daz Black<', '>|<'];['>Daz Black<', '>Alex Duggan<', '>Nick Stoppani<', '>Michael York<']
Army Man;N/A;Action, Drama            ;(2022);N/A;N/A;['>Nik Aufderhar<', '>|<'];['>Jack Harrison<', '>Sara Rudeseal<', '>Amy Todd<']
Harmony;N/A;N/A;(IV) (2022);N/A;N/A;N/A;['>EJ Acosta<', '>Sofia Beiro<', '>Matthew Binetti<', '>Lauren Gillespe<']
Night Mares;N/A;Horror            ;(2022);N/A;N/A;N/A;N/A
Crazy Water;46 min;Horror            ;(2022);N/A;N/A;['>Alair Diremigio<', '>|<'];['>Nick Brady<', '>Colin Costigan<', '>Alair Diremigio<']
Nightmoon City;N/A;Comedy            ;(2022);N/A;N/A;['>Chris Blim<', '>|<'];['>Chris Blim<', '>Sean Cook<', '>Aaron Golden<']
Dirty Reflections;N/A;Drama            ;(2022);N/A;N/A;['>Ikechukwu Nweke<', '>|<'];['>Precious Ezeugo Asa<', '>Nwaoha Chioma Blessing<', '>Anabel Chikama<', '>Queen Enebechi<']
O Sétimo Círculo;N/A;Horror            ;(2022);N/A;N/A;['>Daniel Maciel<', '>|<'];['>Vinícius Albano<', '>Steiner Cedro<', '>Camilla Martinez<', '>Tati<']
Diary of the MadMan;N/A;Drama, Horror, Thriller            ;;N/A;N/A;['>Christopher Dorrah<', '>|<'];['>Vivienne Powell<', '>Luca Kahn<', '>Brandy Grant<', '>Curtis McNeil<']
Roary;N/A;N/A;(2022);N/A;N/A;N/A;N/A
The Hunted Woods;106 min;Horror            ;(2022);N/A;N/A;['>Nathan Breackenridge<', '>|<'];['>Nathan Breackenridge<', '>Deshawn<']
Project PastaHunters 3;189 min;Comedy, Fantasy, Horror            ;(2022);N/A;N/A;['>Dennis Edwards<', '>|<'];['>Dennis Edwards<', '>Joshua Nelson<', '>Mika Mason<', '>Nguyen Alvin<']
Helena y el Tiempo;77 min;Sci-Fi            ;(2022);N/A;N/A;['>Rodrigo Durana<', '>|<'];['>Julia Iturbe<', '>Gil Rodríguez<', '>Ivon Patiño<', '>Águeda Gutiérrez<']
Adam's Apple;103 min;Drama            ;(2022);N/A;N/A;['>Chidi Chijioke<', '>|<'];['>Tana Adelana<', '>Blessing Koko Ashley<', '>Pere Egbi<', '>Marvelous Emmanuel<']
The Janus Perspective;N/A;Horror            ;(2022);N/A;N/A;N/A;N/A
Chotho Vandro;N/A;Family            ;(2022);N/A;N/A;['>Deepak Dhirubhai Patel<', '>|<'];['>Komal Panchal<', '>Bimal Trivedi<', '>Deepa Trivedi<']
Talk to Me;94 min;Horror, Thriller            ;(I) (2022);7.4;N/A;['>Danny Philippou<', '>Michael Philippou<', '>|<'];['>Sophie Wilde<', '>Joe Bird<', '>Alexandra Jensen<', '>Otis Dhanji<']
Blood Covered Chocolate;82 min;Crime, Fantasy, Horror            ;(2022);5.1;N/A;['>Monte Light<', '>|<'];['>Christine Nguyen<', '>Helene Udy<', '>Mike Ferguson<', '>Debra Lamb<']
Murder, Anyone?;81 min;Comedy, Crime            ;(2022);7.5;N/A;['>James Cullen Bressack<', '>|<'];['>Kristos Andrews<', '>Galadriel Stineman<', '>Maurice LaMarche<', '>Charles M. Howell IV<']
Shan jhong sen lín;132 min;Crime, Drama            ;(2022);6.8;N/A;['>Johnny Chiang<', '>|<'];['>Kang-sheng Lee<', '>Chien-Na Lee<', '>Vivian Chen<', '>Prince Chiu<']
The Wild Man;N/A;Drama            ;(2022);8.6;N/A;['>Riley Cusick<', '>|<'];['>Larry Fessenden<', '>Jenna Kanell<', '>Riley Cusick<', '>Kelli Maroney<']
Who Knows Oscar the Clown;N/A;N/A;(2022);N/A;N/A;['>John Charles Gerald<', '>|<'];['>John Charles Gerald<', '>Joseph Miller<', '>Nick Gerald<', '>Joshaway Kingsbury<']
Another way to make a living;65 min;Drama            ;(2022);5.8;N/A;['>André J. Witt<', '>|<'];['>Lars Nover<', '>Ruben Dietze<', '>Kristin Heil<', '>Marco Schlafke<']
Hubcap;104 min;Comedy, Crime, Drama            ;(2022);N/A;N/A;['>Dick Mays<', '>|<'];['>Adam Boyer<', '>Holly A. Morris<', '>Rudy Eisenzopf<', '>Quinn Bozza<']
Lucid;60 min;Sci-Fi, Thriller            ;(IV) (2022);N/A;N/A;['>Isaac Fenter<', '>|<'];['>Kyler Porche<', '>Taryn Terrell<', '>Gregory Nye<']
Yang Patah Tumbuh, Yang Hilang Berganti;85 min;Drama            ;(2022);N/A;N/A;['>Herwin Novianto<', '>|<'];['>Indro Warkop<', '>Clara Bernadeth<', '>Donny Damara<', '>Endah Laras<']
Decap;86 min;Horror            ;(2022);N/A;N/A;['>The Count<', '>|<'];['>Hedy Gregor<', '>Jacqueline Poorter<']
Lulu;N/A;Comedy            ;(2022);N/A;N/A;['>Ana Campina<', '>|<'];['>Liliana Aguiar<', '>Pedro Anjos<', '>Daniela Esdras<', '>Paulo Gonzo<']
Dawn;86 min;Drama            ;(IV) (2022);N/A;N/A;['>Djakis Diarra<', '>Kobla Koné<', '>|<'];['>Taous Bennai<', '>Michel Bohiri<', '>Pode Desire<', '>Kiswendsida Stephane Ilboudo<']
Sunday Scaries;45 min;Horror            ;(2022);N/A;N/A;N/A;N/A
Batomen;N/A;Drama            ;(2022);N/A;N/A;['>Ledoux Jules Fetchou<', '>|<'];['>Ledoux Jules Fetchou<', '>Ariane Bella Keumaleu<', '>Alliance Madeleine<', '>Diane Mekongo<']
Marathon Aarum pedikanda odikko;100 min;Comedy            ;(2022);N/A;N/A;['>Arjun Ajith<', '>|<'];['>Shiva Hariharan<']
Do We Call It Love?;149 min;Drama            ;(2022);N/A;N/A;['>Aniedi Awah Noba<', '>|<'];['>Henry Agbai<', '>Grace Agbo<', '>Uzor Arukwe<', '>Janella Awah<']
Freeze;90 min;Horror, Thriller            ;(I) (2022);3.8;N/A;['>Charlie Steeds<', '>|<'];['>Johnny Vivash<', '>David Lenik<', '>Beatrice Barrilà<', '>Jake Watkins<']
O Rio do Desejo;107 min;Drama            ;(2022);7.2;N/A;['>Sergio Machado<', '>|<'];['>Rômulo Braga<', '>Sophie Charlotte<', '>Coco Chiarella<', '>Daniel de Oliveira<']
A Bit of Light;98 min;Drama            ;(2022);9.1;N/A;['>Stephen Moyer<', '>|<'];['>Pippa Bennett-Warner<', '>Rebecca Callard<', '>Tim Cullingworth-Hudson<', '>Luca Hogan<']
Dance Dads;84 min;Comedy            ;(II) (2022);8.8;N/A;['>Brock Harris<', '>|<'];['>Charlie Barnett<', '>Brittney Bertier<', '>Jared Bonner<', '>Kade Bonner<']
On the Edge;114 min;Horror            ;(III) (2022);5.5;N/A;['>Jen Soska<', '>Sylvia Soska<', '>|<'];['>Sophie Buddle<', '>Ola Dada<', '>Ivan Decker<', '>Alanna Finn-Morris<']
Outpost;84 min;Horror            ;(2022);7.0;N/A;['>Joe Lo Truglio<', '>|<'];['>Dallas Roberts<', '>Dylan Baker<', '>Beth Dover<', '>Becky Ann Baker<']
Katok;63 min;Horror            ;(2022);5.9;N/A;['>Joven Tan<', '>|<'];['>Ara Mina<', '>Soliman Cruz<', '>Yñigo Delen<', '>Mia Aquino<']
Phases of the Moon;128 min;Drama, Romance            ;(2022);6.0;N/A;['>Ryûichi Hiroki<', '>|<'];['>Kasumi Arimura<', '>Ren Meguro<', '>Ko Shibasaki<', '>Yô Ôizumi<']
#chadgetstheaxe;83 min;Horror            ;(2022);7.7;N/A;['>Travis Bible<', '>|<'];['>Jerilyn Armstrong<', '>Michael Bonini<', '>Brandon Doyle<', '>Taneisha Figueroa<']
The Nameless;N/A;Thriller            ;(2022);N/A;N/A;['>Curt Mega<', '>Eric Carroll<', '>|<'];['>Curt Mega<', '>Riker Lynch<', '>Hayley McFarland<', '>John Posey<']
Summer to Come;74 min;Drama            ;(2022);6.9;N/A;['>György Mór Kárpáti<', '>|<'];['>Rea Albert<', '>Czipa András<', '>Hunyadi Beatrix<', '>Orsolya Bukovszky<']
Sacred Grounds: Forbidden;N/A;Adventure, Thriller            ;(2022);N/A;N/A;['>Glenn Martin<', '>|<'];['>Zach Galligan<', '>Jennifer Banko<', '>Brian Ceponis<', '>Chaney Morrow<']
Le principal;82 min;Comedy            ;(2022);5.0;N/A;['>Chad Chenouga<', '>|<'];['>Sébastien Chassagne<', '>Yannick Choirat<', '>Cyril Couton<', '>Philippe Duquesne<']
Deliverance;106 min;Thriller            ;(II) (2022);N/A;N/A;['>Kelvin Shum<', '>|<'];['>Simon Yam<', '>Hee Ching Paw<', '>Kenneth Tsang<', '>Ron Ng<']
Mother Superior;71 min;Fantasy, Horror, Thriller            ;(2022);6.2;N/A;['>Marie Alice Wolfszahn<', '>|<'];['>Isabella Händler<', '>Inge Maux<', '>Jochen Nickel<', '>Tim Werths<']
Opium;77 min;Comedy, Sci-Fi            ;(2022);8.2;N/A;['>Aman Sachdeva<', '>|<'];['>Anirban Bhattacharyya<', '>Manu Rishi Chadha<', '>Sharib Hashmi<', '>Geetika Vidya Ohlyan<']
The Lump in My Heart;92 min;Drama            ;(2022);8.4;N/A;['>Shingo Matsumura<', '>|<'];['>Rii Ishihara<', '>Atsuko Maeda<', '>Emi Ryusei<', '>Takako Tokiwa<']
Wandering Bonbon;114 min;Romance            ;(2022);9.9;N/A;['>Toshiki Satô<', '>|<'];['>Tomomitsu Adachi<', '>Shinobu Tsuji<']
Trash Juice;N/A;Horror            ;(2022);5.6;N/A;['>Doug Waugh<', '>|<'];['>Romina Bardales<', '>Yajaira Bardales<', '>Ken Brewer<', '>G. Larry Butler<']
Brief Candle;N/A;Thriller            ;(2022);N/A;N/A;['>Stephen Beehler<', '>|<'];['>Katerina Eichenberger<', '>John Paul Kakos<', '>Brandon Akira<', '>Jaimi McPeek<']
Mark of the Devil 777: The Moralist, Part 2;108 min;Horror, Comedy            ;(2022);N/A;N/A;['>Jason Paul Collum<', '>|<'];['>Karen Dilloo<', '>Brinke Stevens<', '>Michael L. Wynhoff<', '>Tina Ona Paukstelis<']
Boneless;85 min;Sci-Fi            ;(2022);N/A;N/A;['>Dario Bagatin<', '>|<'];['>Francesco Roder<', '>David White<', '>Erica Alberti<', '>Paolo Fagiolo<']
After the Gunflint;80 min;Adventure            ;(2022);N/A;N/A;"["">Jd O'Brien<"", '>|<']";['>Josie Axelson<', '>Al Norby<', '>Bruce Purcell<', '>Ryan J. Gilmer<']
The Lies of Our Confines;N/A;Horror            ;(2022);8.4;N/A;['>Leon Oldstrong<', '>|<'];['>Tobi King Bakare<', '>Enrique Borico<', '>Braulio Chimbembe<', '>Harrison Daniels<']
ReEvolución 10/20 Honor sin tiempo;N/A;Drama, History, Sci-Fi            ;(2022);N/A;N/A;['>Natali Panganiba Velasco<', '>|<'];['>Mario Iván Martínez<', '>Reynaldo Huerta<', '>Alberto Pavón<', '>Jerónimo Aguilar<']
Peacock Lament;110 min;Drama            ;(2022);6.8;N/A;['>Sanjeewa Pushpakumara<', '>|<'];['>Akalanka Prabashwara<', '>Sabeetha Perera<', '>Dinara Punchihewa<', '>Lorenzo Acquaviva<']
Harmony Falls;N/A;Horror, Thriller            ;(2022);N/A;N/A;['>David Reuben Aslin<', '>Jon Christopherson<', '>|<'];['>David Reuben Aslin<', '>Denise Aslin<', '>Katherine Aslin<', '>Moe Aslin<']
Batman: Aftermath;48 min;Action            ;(2022);N/A;N/A;['>Jack Dunlop<', '>|<'];['>Adam Wallace<', '>Richard McFerran<', '>Sohaib Syed<', '>Will Jordan<']
Blow Up My Life;80 min;Comedy, Thriller            ;(2022);6.0;N/A;['>Ryan Dickie<', '>Abigail Horton<', '>|<'];['>Jason Selvig<', '>Kara Young<', '>Ben Horner<', '>Davram Stiefler<']
The Rake;15 min;Horror, Thriller            ;(2022);N/A;N/A;['>Brian k Franklin<', '>|<'];['>Calvin Brookins<', '>Christopher EJ<', '>Samantha Jorden<', '>Airica Reynolds<']
Within the Skin;N/A;Thriller            ;(2022);N/A;N/A;['>Randy Kent<', '>|<'];['>Erika Monet Butters<', '>Emi Curia<', '>Rick McVey<', '>Rob Springer<']
The Workshop, A Dress Rehearsal for Life;131 min;Musical            ;(2022);N/A;N/A;['>Napisi Reyes<', '>|<'];['>Nutchapong Asavakarn<', '>Bussayapat Aunchittikul<', '>Anuttra Kitiyakara Na Ayudhya<', '>Pitchaya Kemasingki<']
La soledad del director de fondo;65 min;N/A;(2022);N/A;N/A;['>Manuel Iborra<', '>|<'];['>Fernando Colomo<', '>Manuel Iborra<']
The Meditation Film Project (Healing Sounds);N/A;Sci-Fi            ;(2022);N/A;N/A;['>Cice Rivera<', '>|<'];['>Keanu Blye<', '>Cice Rivera<']
La Hora Roja;88 min;Thriller            ;(2022);N/A;N/A;['>Juan Carlos Díaz Amaya<', '>|<'];['>Francois Macedo<', '>Percy Chumbe<', '>Fernando Petong<', '>Lolo Balbin<']
Pharaoh's Daughter;N/A;Adventure            ;(2022);N/A;N/A;N/A;N/A
Anna;N/A;Drama            ;(III) (2022);N/A;N/A;N/A;N/A
An Illusion;N/A;Drama            ;(2022);N/A;N/A;['>Frankline Nwochuze<', '>|<'];['>Annicette Berry<', '>Ntachi Charlotte<', '>Chanty Cliare<', '>Asanga Daniel<']
Their Backs;106 min;Romance            ;(2022);9.8;N/A;['>Michio Koshikawa<', '>|<'];['>Gôichi Mine<', '>Motoki Ochiai<', '>Riho Sato<']
Haunted Squad;N/A;Action            ;(2022);N/A;N/A;['>Serge Kolesnyak<', '>Alex Davidson<', '>|<'];['>Alex Davidson<']
Alessandro Ducoli - Live in Brescia;111 min;Music            ;(2022);N/A;N/A;['>Tiziano Sossi<', '>|<'];['>Matteo Vincenzo Cossu<', '>Alessandro Ducoli<', '>Valerio Gaffurini<', '>Alberto Pavesi<']
Lock Your Safety Pin;N/A;Action            ;(2022);N/A;N/A;N/A;N/A
Where We Belong;N/A;Drama            ;(2022);N/A;N/A;['>Tyaba Charles<', '>|<'];['>Jacklyne Namubiru<', '>Alex Kakooza<', '>Henry Nathan Katongole<', '>Immaculate Rwamahe<']
Woman in the Valley;N/A;Action            ;(2022);N/A;N/A;N/A;N/A
Enola Holmes 2;129 min;Action, Adventure, Crime            ;(2022);6.7;N/A;['>Harry Bradbeer<', '>|<'];['>Millie Bobby Brown<', '>Henry Cavill<', '>David Thewlis<', '>Louis Partridge<']
Sam & Kate;110 min;Comedy, Drama, Romance            ;(2022);6.1;N/A;['>Darren Le Gallo<', '>|<'];['>Jake Hoffman<', '>Schuyler Fisk<', '>Dustin Hoffman<', '>Sissy Spacek<']
Feed;100 min;Horror            ;(2022);5.5;N/A;['>Johannes Persson<', '>|<'];['>Vincent Grahl<', '>Sofia Kappel<', '>Annica Liljeblad<', '>Amanda Lindh<']
Puppet Master: Doktor Death;75 min;Horror            ;(2022);4.7;N/A;['>Dave Parker<', '>|<'];['>Jenny Boswell<', '>Chad Patterson<', '>Emily Sue Bengtson<', '>Erin Eva Butcher<']
Tara vs Bilal;126 min;Comedy, Drama, Romance            ;(2022);5.7;N/A;['>Samar Iqbal<', '>|<'];['>Shammi Aulakh<', '>Shazia Bhatti<', '>Tariq Chacha<', '>Anil Christie<']
Kumari;137 min;Horror, Thriller            ;(2022);6.4;N/A;['>Nirmal Sahadev<', '>|<'];['>Aishwarya Lekshmi<', '>Shine Tom Chacko<', '>Swasika Vijay<', '>Surabhi Lakshmi<']
Daniel's Gotta Die;91 min;Comedy            ;(2022);8.0;N/A;['>Jeremy LaLonde<', '>|<'];['>Carly Chaikin<', '>Mary Lynn Rajskub<', '>Joel David Moore<', '>Bob Saget<']
Jaya Jaya Jaya Jaya Hey;145 min;Comedy, Drama, Family            ;(2022);7.7;N/A;['>Vipin Das<', '>|<'];['>Basil Joseph<', '>Anand Manmadhan<', '>Noby Marcose<', '>Azees Nedumangad<']
Molto Bella;91 min;Music, Romance            ;(2022);6.2;N/A;['>Alexander Jeffery<', '>|<'];['>Kyle Brunick<', '>Kenny Burns<', '>Jason Edwards<', '>Paul Petersen<']
Dampyr;109 min;Fantasy, Horror            ;(2022);6.3;N/A;['>Riccardo Chemello<', '>|<'];['>Wade Briggs<', '>Stuart Martin<', '>Frida Gustavsson<', '>Sebastian Croft<']
What Remains;100 min;Drama, Mystery, Thriller            ;(III) (2022);6.8;N/A;['>Nathan Scoggins<', '>|<'];['>Anne Heche<', '>Kellan Lutz<', '>Cress Williams<', '>Juliana Destefano<']
Salvaje es el viento;123 min;Crime, Drama            ;(2022);5.5;N/A;['>Fabian Medea<', '>|<'];['>Mothusi Magano<', '>Frank Rautenbach<', '>Chris Chameleon<', '>Mona Monyane<']
El mundo de la posverdad;120 min;Crime, Drama, Mystery            ;(2022);6.4;N/A;['>If Chen<', '>|<'];['>Hsiao-chuan Chang<', '>Edward Chen<', '>Caitlin Fang<', '>Aviis Zhong<']
Grutte Pier;115 min;History            ;(2022);6.1;N/A;['>Steven de Jong<', '>|<'];['>Milan van Weelden<', '>Elske DeWall<', '>Syb van der Ploeg<', '>Jan Arendsz<']
Smile;N/A;Horror            ;(X) (2022);3.4;N/A;['>Oktober Layne<', '>|<'];"['>Kitty Timbers<', "">Ka'ssee Rhe'anne<"", '>Elihue Ackerman<', '>Sammy Ray Spencer<']"
The Blackwell Ghost 7;70 min;Horror            ;(2022);6.4;N/A;['>Turner Clay<', '>|<'];['>Turner Clay<']
The Manhattan Project;85 min;Comedy, Drama            ;(2022);7.9;N/A;['>Matthew Campanile<', '>|<'];['>Terry Novak<', '>Francesco Filice<', '>Len Greenaway<', '>Steve Kasan<']
My Special Boy;70 min;Horror            ;(2022);4.7;N/A;['>James Grim<', '>Braden Timmons<', '>|<'];['>Braden Timmons<', '>Abby Jarrett<', '>Adrian Navarro<', '>Sammie Kahkola<']
Cloves & Carnations;103 min;N/A;(2022);7.6;N/A;['>Bekir Bülbül<', '>|<'];['>Serkan Bilgi<', '>Emine Ciftci<', '>Bahadir Efe<', '>Firat Kaymak<']
Adam + Eve;120 min;Drama            ;(2022);8.8;N/A;['>Brian Hooks<', '>|<'];['>Myles Cranford<', '>Duane Finley<', '>Kareem J. Grimes<', '>Teck Holmes<']
A Party to Die For;83 min;Horror, Thriller            ;(2022);4.5;N/A;['>Nanea Miyata<', '>|<'];['>Jonetta Kaiser<', '>Kara Royster<', '>Jermaine Rivers<', '>Madia Hill Scott<']
Demons at Dawn;80 min;Horror            ;(2022);5.2;N/A;['>Randy Kent<', '>|<'];['>Amber Doig-Thorne<', '>John Altman<', '>BJ Mezek<', '>Greg Dodder<']
Appan;129 min;Comedy, Crime, Drama            ;(2022);7.6;N/A;['>Maju<', '>|<'];['>Sunny Wayne<', '>Alencier Ley Lopez<', '>Pauly Valsan<', '>Ananya<']
Clásico: A por la copa;97 min;Comedy            ;(2022);4.7;N/A;['>Nathanaël Guedj<', '>Adrien Piquet-Gauthier<', '>|<'];['>Ahmed Sylla<', '>Alice Belaïdi<', '>Hakim Jemili<', '>Elie Semoun<']
No Better Love;N/A;Crime, Drama            ;(2022);6.1;N/A;['>Arthur Muhammad<', '>|<'];['>Karlie Redd<', '>Dennis L.A. White<', '>Manda Mae Emery<', '>Diamond Simmons-James<']
13 Miles;105 min;Drama, Sport            ;(2022);7.1;N/A;['>Anthony Epp<', '>Helena Thom<', '>|<'];['>Jovanna Burke<', '>Cameron Grierson<', '>Sadie Silcock<', '>Corey Woods<']
Three Sisters of Tenmasou;120 min;Drama            ;(2022);5.9;N/A;['>Ryûhei Kitamura<', '>|<'];['>Non<', '>Mugi Kadowaki<', '>Riku Hagiwara<', '>Hiroyuki Hirayama<']
Shudderbugs;105 min;N/A;(2022);7.4;N/A;['>Johanna Putnam<', '>|<'];['>Johanna Putnam<', '>Brennan Brooks<', '>Tricia Merrick<', '>Rachel Tiemann<']
Jatugriha;104 min;Drama, Horror            ;(2022);8.3;N/A;['>Saptaswa Basu<', '>|<'];['>Parambrata Chattopadhyay<', '>Bonny Sengupta<', '>Piyali Chakraborty<', '>Payel Sarkar<']
Focus;119 min;Action, Crime, Mystery            ;(III) (2022);8.0;N/A;['>G Surya Teja<', '>|<'];['>Muskan Arora<', '>Raghu Babu<', '>Surya Bhagawan<', '>Bhanuchander<']
Autorickshawkarante Bharya;114 min;Drama            ;(2022);4.7;N/A;['>Harikumar<', '>|<'];['>Devi Ajith<', '>Ann Augustine<', '>Janardanan<', '>Manohari Joy<']
Prem Pratha Dhumshaan;125 min;Romance            ;(2022);N/A;N/A;['>Abhijeet Warang<', '>|<'];['>Vinayak Chavan<', '>Akshata Kambali<', '>Anil Kamble<', '>Abhay Khadapkar<']
Sputum;84 min;Sci-Fi            ;(2022);5.4;N/A;['>Dan Geesin<', '>|<'];['>Yannick Jozefzoon<', '>Jade Olieberg<', '>Guido Pollemans<', '>Tine Joustra<']
Coldplay Live Broadcast from Buenos Aires;150 min;Music            ;(2022);8.4;N/A;['>Paul Dugdale<', '>|<'];['>Chris Martin<', '>Jin<', '>Guy Berryman<', '>Will Champion<']
Kaalangalil Aval Vasantham;120 min;Romance            ;(2022);5.7;N/A;['>Raghav Mirdath<', '>|<'];['>Anjali Nair<', '>Mathew Varghese<', '>Anitha Sampath<', '>Kaushik Ram<']
Kulkuset kulkuset;98 min;Comedy            ;(2022);6.1;N/A;['>Taru Mäkelä<', '>|<'];['>Christoffer Strandberg<', '>Martti Suosalo<', '>Eeva Litmanen<', '>Ali Jahangiri<']
Mahapurush;151 min;Family            ;(2022);8.7;N/A;['>Pradeep Bhattarai<', '>|<'];['>Hari Bansha Acharya<', '>Rabindra Singh Baniya<', '>Anjana Baraili<', '>Arun Chhetri<']
Goa Trip;85 min;Drama            ;(2022);4.3;N/A;['>Pujit Harshida Zakhariya<', '>|<'];['>Ankit Bathla<', '>Rani Chatterjee<', '>Raadhe Kumar<', '>Vikas Pathak<']
The One for Sarah;97 min;Drama, Romance            ;(2022);N/A;N/A;['>Lyndsey F. Efejuku<', '>|<'];['>Beverly Naya<', '>Uzor Arukwe<', '>Bucci Franklin<', '>Daniel Etim Effiong<']
Rudraveena;102 min;Drama, Romance            ;(2022);7.2;N/A;['>Madhu Sudhan Reddy<', '>|<'];['>Darbha Appaji Ambarisha<', '>Elsa Ghosh<', '>Raghu Kunche<', '>Sreeram Nimmala<']
Exile;85 min;Action            ;(IV) (2022);8.9;N/A;['>Thang Mung<', '>Nuam Boih<', '>|<'];['>Khai Boih<', '>Nuam Boih<', '>Peter Lian<', '>Gin Mung<']
Into the Darkness;110 min;Horror, Sci-Fi, Thriller            ;(2022);N/A;N/A;['>Stockton Miller<', '>|<'];['>Romario Cottoy<', '>Gabriella Bovell<', '>Brandon Blackman<', '>Simon Alleyne<']
